,fandom,other_fandom,name,circle_code,event,circle_facebook,circle_instagram,circle_twitter,circle_other_socials,sampleworks_images,substring
1057,SEVENTEEN,"BTS, SEVENTEEN, NCT, DREAMCATCHER, THE BOYZ, AESPA, LE SSERAFIM, NEW JEANS, TXT, IVE, GIDLE, ENHYPEN, WEAK HERO, 2521, ORIGINAL ART",Sangpum Mart,L-20ab,CF17,,"https://instagram.com/asoftstarlight, https://instagram.com/jipartsy, https://instagram.com/cwittea, https://instagram.com/icycho.co",,,,2521
628,KPOP,"ANIME & MANGA (CARDCAPTOR SAKURA, CHAINSAW MAN, KOCCHIMUITTE! MIIKO, KOMI-SAN CAN'T COMMUNICATE, ONE PIECE, SHOWA ERA ANIME, STUDIO GHIBLI, SPY X FAMILY, TAMAGOTCHI), CAPYBARA, MARVEL, HAPPY CAT + BANANA CAT MEME, ANIMATION/FILMS/PROJECTS (AKIRA, ARI ASTER FILMS, HAZBIN HOTEL, HELLUVA BOSS, THE AMAZING DIGITAL CIRCUS, SCOTT PILGRIM, POKEMIKU PROJECT VOLTAGE, SPIKE JONZE FILMS, WES ANDERSON FILMS, WONG KAR WAI FILMS), GAMES (ACNH, DEGREES OF LEWDITY, FIVE NIGHTS AT FREDDY'S, GENSHIN IMPACT, IDENTITY V, KIRBY, RAGNAROK ONLINE, SEAL ONLINE, VALORANT), ORIGINAL ARTS, OC, CUTE ANIMALS, KPOP/KOREAN SCENE (AESPA, BIBI, BLACKPINK, BTS, CODEKUNST, DPR IAN, DPR LIVE, (G)I-DLE, IU, LE SSERAFIM, NCT, NCT 127, NEWJEANS, PLAVE, RED VELVET, SEVENTEEN, WAVE TO EARTH, WINNER, MORE KHH&KRNB), JPOP (ADO, BABYMETAL, FUJII KAZE, XG), NIKI, SABRINA CARPENTER",monstre planet,G-37ab,CF18,-,"https://instagram.com/adoredthree/ , instagram.com/monstreplanet , instagram.com/mrsabamiso/ , instagram.com/norayaki__/, instagram.com/peacherpeach.pins/, https://www.instagram.com/peacherpeachy/","twitter.com/adoredthree, twitter.com/monstreplanet, twitter.com/MrSabamiso, twitter.com/peacherpeach_p, twitter.com/peacherpeachy","tiktok.com/@adoredthree, tiktok.com/@peacherpeachy",,BIBI
371,JUJUTSU KAISEN,"JJK, HONKAI, ATSV, STL, CSM, BP, WHA, GENSHIN, TRIGUN, GOLDEN KAMUY, IDOLISH 7, OC",SISKAMLING DEBIRU HANTA,C-54ab,CF17,,https://www.instagram.com/ruesttt/?hl=en,https://twitter.com/ruestttt,,,BP
679,NU CARNIVAL,"ORV, TEARS OF THEMIS",Himatachi,G-36b,CF17,,https://instagram.com/fifirara?igshid=MzNlNGNkZWQ4Mg==,,,,CARNIVAL
159,HONKAI STAR RAIL,"GENSHIN IMPACT, HAIKYUU, TEARS OF THEMIS, NU:CARNIVAL, NIJISANJI EN, ONE PIECE, BUNGOU STRAY DOGS, YURI ON ICE, DR.STONE, ENSEMBLE STARS",Soumeki A,AE-21/AE-22,CF17,https://www.facebook.com/SR.Soumeki,https://www.instagram.com/sr_soumeki/,https://twitter.com/SR_Soumeki,,,CARNIVAL
189,HONKAI STAR RAIL,"GENSHIN IMPACT, HAIKYUU, TEARS OF THEMIS, NU:CARNIVAL, NIJISANJI EN, ONE PIECE, BUNGOU STRAY DOGS, YURI ON ICE, DR.STONE, ENSEMBLE STARS",Soumeki B,AF-11,CF17,https://www.facebook.com/SR.Soumeki,https://www.instagram.com/sr_soumeki/,https://twitter.com/SR_Soumeki,,,CARNIVAL
248,ORIGINAL,"GENSHIN IMPACT, ARKNIGHTS, MONSTER HUNTER, GRANBLUE FANTASY, HONKAI STAR RAIL, NU:CARNIVAL, HORROR RPG, DMMD, NIJISANJI EN",~La Creatura~,B-13ab,CF17,,,,,,CARNIVAL
443,BOCCHI THE ROCK,"DANMEI, OMNISCIENT READER'S VIEWPOINT, NU CARNIVAL, BLUE ARCHIVE, GENSHIN IMPACT, HONKAI STAR RAIL, ZUTOMAYO, EVANGELION, ML, POKEMON, GUDETAMA, BLUE LOCK, HONEYWORKS, SKIP AND LOAFER, K-ON",Bekhachi,D-46ab (SUN),CF17,,,https://twitter.com/Kuronichi285,,,CARNIVAL
481,NIJISANJI,"NU: CARNIVAL, ORIGINAL, GENSHIN IMPACT, HONKAI STAR RAIL",Cafe Au Lait,E-10b (SAT),CF17,,https://www.instagram.com/cafeaulaitte/?hl=en,,,,CARNIVAL
527,PROJECT SEKAI,"NIJISANJI, RUNE FACTORY, NU:CARNIVAL, ANIME, GENSHIN",Consonant of Sky,E-43a (SAT),CF17,,,https://twitter.com/konachaa17,,,CARNIVAL
531,PROJECT SEKAI,"ENSEMBLE STARS, CITY HUNTERS, DIGI CHARAT, GENSHIN IMPACT, BLUE LOCK, NU:CARNIVAL",MonoGATARI,E-44a,CF17,,,https://twitter.com/Kuriitama,,,CARNIVAL
594,ARKNIGHTS,"LIMBUS COMPANY (PROJECT MOON), GENSHIN IMPACT, HONKAI STAR RAIL, FATE/GRAND ORDER, PROJECT:VOLTAGE, ARKNIGHTS, IDENTITY V, S-CLASS, PERSONA, FE3H, NU:CARNIVAL, PROJECT SEKAI, MAHOYAKU, OBEY ME!",Telemiette,F-32ab/F-33ab,CF17,,https://www.instagram.com/telemiette/,https://twitter.com/Telemiette,,,CARNIVAL
633,FINAL FANTASY XIV,"ORIGINAL, GENSHIN IMPACT, VTUBER, NU-CARNIVAL, MAHOYAKU",Puine & PENG☆PENG,G-04ab (SAT)/G-05ab (SAT),CF17,https://www.facebook.com/puinewood,http://instagram.com/polamelia,http://twitter.com/nindianda,,,CARNIVAL
744,GENSHIN IMPACT,"STRAY KIDS, SEVENTEEN, GHIBLI, NIJISANJI EN, OSHI NO KO, CHAINSAWMAN, NU: CARNIVAL",Kuromatchanooki,H-19a,CF17,,,https://twitter.com/kusattamomoo,shopee.co.id/kurochette.a,,CARNIVAL
759,TEARS OF THEMIS,"MYSTIC MESSENGER, IKEMEN SENGOKU, IKEMEN VAMPIRE, IKEMEN REVOLUTION, IKEMEN PRINCE, IKEMEN VILLAIN, OBEY ME!, ENSEMBLE STARS!!, NU: CARNIVAL, GENSHIN IMPACT, HONKAI STAR-RAIL, NIJISANJI, HOLOLIVE, EVANGELION, POP TEAM EPIC, SAILOR MOON, SAINT SEIYA, CHAINSAW MAN, RUROUNI KENSHIN, FREE!, GOLDEN KAMUY, VOCALOID, ORIGINAL (KUCING, KELINCI)",BAZOTAO,H-27ab,CF17,https://web.facebook.com/bazotao,https://www.instagram.com/bazotao/,,,,CARNIVAL
838,GENSHIN IMPACT,"HONKAI STAR RAIL, TRIGUN STAMPEDE, NU CARNIVAL, NIJISANJI EN",Tinayi Mushwoom,I-45ab,CF17,https://www.facebook.com/nanasss11,https://www.instagram.com/chiboniie/,https://twitter.com/chbn113,,,CARNIVAL
853,HONKAI : STAR RAIL,"GENSHIN IMPACT, OSHI NO KO, SKIP AND LOAFER, SPY X FAMILY, ONE PIECE, HUNTER X HUNTER, GHIBLI, AESPA, HOLOTEMPUS, NU : CARNIVAL, SLOW DAMAGE, ORIGINAL MERCH",Toko Kaget,I-57ab,CF17,,https://www.instagram.com/toko_kaget_cf,https://twitter.com/toko_kaget_cf,,,CARNIVAL
862,HONKAI STAR RAIL,"TOUKEN RANBU, PROJECT SEKAI, LIMBUS COMPANY, GENSHIN IMPACT, NU CARNIVAL, UTAITE, SOUSOU NO FRIEREN, HOLOLIVE ID, NIJISANJI JP",Lipat Nemo,J-07a,CF17,,https://www.instagram.com/mpome_/,https://x.com/Mkpome_,,,CARNIVAL
868,HONKAI STAR RAIL,"SPY X FAMILY, TOKYO MEW MEW, SUIKODEN, NU:CARNIVAL, GENSHIN IMPACT, BLUELOCK",Waroeng Kaki Enam,J-11b,CF17,,https://instagram.com/waroengkakienam,,,,CARNIVAL
877,GENSHIN IMPACT,"NU:CARNIVAL,MORIATY THE PATRIOT, JJK, NIJISANJI,LINK CLICK, ORV,HSR,CHAINSAWMAN",Hitsukane,J-16a,CF17,https://www.facebook.com/chranart,https://www.instagram.com/chranart/,https://twitter.com/chranart,,,CARNIVAL
906,HONKAI STAR RAIL,"HSR, ORIGINAL,NIJISANJI, ARCANE, GENSHIN, ORV, CARNIVAL, CSM, POKEMOM, ATSV, HI3, BSD,JJK",Bingoong,J-45ab,CF17,,,https://twitter.com/Bingoongg,,,CARNIVAL
1001,GENSHIN IMPACT,"HONKAI STAR RAIL, NU: CARNIVAL, ENSEMBLE STARS",Lynpich & Lunacerra,K-47ab (SAT)/K-48ab (SAT),CF17,,https://www.instagram.com/lunacerra/,https://twitter.com/pichiruu,,,CARNIVAL
164,HOYOVERSE (HSR/GENSHIN) MAINLY AND ORIGINAL WORKS,"ORIGINAL WORKS, FINAL FANTASY 14, ARKNIGHTS, NUCARNIVAL",Allenerie,A-27ab/A-28ab,CF18,https://www.facebook.com/allenerie.art,https://instagram.com/allenerie.artscrap,Https://twitter.com/allenerie,,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/2abd0118-722b-4fbf-89f6-46015e871e47/b11275c9-1647-4895-8815-2c248b4dbed1/A-27ab/A-28ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/2abd0118-722b-4fbf-89f6-46015e871e47/0ec439b4-9742-40b7-8534-7e65e32b9cf8/A-27ab/A-28ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/2abd0118-722b-4fbf-89f6-46015e871e47/24924d68-ee09-4298-961b-a9443cb7b2ff/A-27ab/A-28ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/2abd0118-722b-4fbf-89f6-46015e871e47/942334b5-4403-4f8d-a4eb-79fae9885865/A-27ab/A-28ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/2abd0118-722b-4fbf-89f6-46015e871e47/296859ab-2c54-464f-af1b-f550ae509976/A-27ab/A-28ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/2abd0118-722b-4fbf-89f6-46015e871e47/5eb2e872-edeb-4f07-83cd-3ed0260aef6d/A-27ab/A-28ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/2abd0118-722b-4fbf-89f6-46015e871e47/93da4e9c-26b4-414c-a4eb-6406d1f3f02f/A-27ab/A-28ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/2abd0118-722b-4fbf-89f6-46015e871e47/c43119a5-bc9f-4e9d-8735-2fe71b7e7763/A-27ab/A-28ab.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/2abd0118-722b-4fbf-89f6-46015e871e47/dd54d89b-8efc-4145-a9f5-5d85a3a3005c/A-27ab/A-28ab.jpg']",CARNIVAL
247,ORIGINAL,"GENSHIN IMPACT, FINAL FANTASY XIV, PLAVE, NU-CARNIVAL, MAHOYAKU",Puine & PENG☆PENG,B-58ab/B-59ab (SAT),CF18,https://www.facebook.com/puinewood,http://instagram.com/polamelia,http://twitter.com/nindianda,,,CARNIVAL
428,VOCALOID,"PATH TO NOWHERE, ONE PIECE, NU:CARNIVAL, ORIGINAL, STRAY KIDS, RESIDENT EVIL, FNAF, BACKROOMS, VTUBERS, GRANBLUE FANTASY, ARKNIGHTS",AmeYume,E-16ab,CF18,,https://www.instagram.com/ameyume.cr?igsh=MnhrODRiZTB6djh6,,,,CARNIVAL
532,ENSEMBLE STARS,"NU: CARNIVAL, GENSHIN IMPACT, HONKAI STAR RAIL",Lyn & Pich,F-30ab (SAT),CF18,,https://www.instagram.com/lyneart18/,https://twitter.com/pichiruu?lang=en,,,CARNIVAL
582,OMNISCIENT READER'S VIEWPOINT,"NU CARNIVAL, GENSHIN IMPACT, SEVENTEEN, HAIKYUU",Himatachi,G-06b,CF18,,,,,,CARNIVAL
588,ORV(OMNISCIENT READER VIEWPOINT),"ORV, GENSHIN IMPACT,HONKAI RAIL STAR, LINK:CLICK,DUGEON MESHI, CHAINSAWMAN, NU:CARNIVAL",One Night Stand,G-09b (SAT),CF18,,https://www.instagram.com/chranart/,https://twitter.com/chranart,,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/d3626965-6304-464f-b6cc-847ca0ff9399/bfb5c093-9e12-4271-b8c2-84d80703c1e4/G-09b (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/d3626965-6304-464f-b6cc-847ca0ff9399/1a1eded9-a67f-412e-bfd7-51be18bed137/G-09b (SAT).jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/d3626965-6304-464f-b6cc-847ca0ff9399/233a8d50-93a2-467d-8791-83efe06c5b8a/G-09b (SAT).png']",CARNIVAL
692,HONKAI STAR RAIL,"LIMBUS, SEVENTEEN, MASHLE, JUJUTSU KAISEN,GENSHIN, TGCF, TRIGUN STAMPEDE, NU:CARNIVAL",PT Ya Sudahlah,H-34ab,CF18,,,,,,CARNIVAL
856,GENSHIN IMPACT,"HONKAI STAR RAIL, ENSEMBLE STARS, BLUE LOCK, NU : CARNIVAL, TOUKEN RANBU",Cow-poration,J-38ab,CF18,,https://www.instagram.com/pawtty__?igsh=MXN3Zm1haWlvcnZnNQ==,https://x.com/Pawtty_?t=c6xwwrsShR5wwu4n30kJYA&s=09,,,CARNIVAL
947,HOLOSTARS,"FRIEREN, OSHI NO KO, SKIP TO LOAFER, SPY X FAMILY, DMMD, SLOW DAMAGE, CHERRY MAGIC, NU: CARNIVAL, HANDMADE BEADS, ORIGINAL MERCH",nawnawpunkin,K-36b,CF18,,https://www.instagram.com/nawnawpunkin/,https://twitter.com/nawnawpunkin,,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/387890df-b3bf-4517-b7fa-920793f73152/44e92e87-0781-4ea5-a580-67c0f1781765/K-36b.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/387890df-b3bf-4517-b7fa-920793f73152/3e56a319-8a09-46dc-af11-6cbb2f48aba0/K-36b.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/387890df-b3bf-4517-b7fa-920793f73152/f70ed170-7c06-44cb-b2b6-3d41c3964240/K-36b.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/387890df-b3bf-4517-b7fa-920793f73152/e17fc016-83ea-4159-9beb-fba6e98b8e29/K-36b.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/387890df-b3bf-4517-b7fa-920793f73152/d72a6966-5472-437c-adb4-afc3c15aa3ff/K-36b.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/387890df-b3bf-4517-b7fa-920793f73152/b871245e-0492-4102-a0fe-32639797f960/K-36b.png']",CARNIVAL
28,VTUBER,"VTUBER, ELAINE, CHLOE, CECILIA, RIMU, CHIARA, MARIN, LEO, REYNARD, LILY",Re:Memories,AB-21/AB-22,CF18,https://www.facebook.com/rememories.id,https://www.instagram.com/rememories.id/,https://twitter.com/Rememories_id,https://rememories.id/,['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/d21e3eb7-6ab5-474d-8ab0-25cabb9125b6/e3602c3a-07bd-4396-a8a7-a34cf736a2e7/AB-21/AB-22.jpg'],CECILIA
28,VTUBER,"VTUBER, ELAINE, CHLOE, CECILIA, RIMU, CHIARA, MARIN, LEO, REYNARD, LILY",Re:Memories,AB-21/AB-22,CF18,https://www.facebook.com/rememories.id,https://www.instagram.com/rememories.id/,https://twitter.com/Rememories_id,https://rememories.id/,['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/d21e3eb7-6ab5-474d-8ab0-25cabb9125b6/e3602c3a-07bd-4396-a8a7-a34cf736a2e7/AB-21/AB-22.jpg'],CHIARA
97,"BOCCHI THE ROCK, SPY X FAMILY","MYDRESSUP,CLASSROOM,HM,AOBUTA,ELAINA,CHIZURU,86, VIOLET EVERGARDEN",Saboten x Possessivenight,AC-43,CF17,,https://www.instagram.com/possessivenight/,https://twitter.com/possessivenight,https://www.pixiv.net/en/users/89210290,,CHIZURU
28,VTUBER,"VTUBER, ELAINE, CHLOE, CECILIA, RIMU, CHIARA, MARIN, LEO, REYNARD, LILY",Re:Memories,AB-21/AB-22,CF18,https://www.facebook.com/rememories.id,https://www.instagram.com/rememories.id/,https://twitter.com/Rememories_id,https://rememories.id/,['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/d21e3eb7-6ab5-474d-8ab0-25cabb9125b6/e3602c3a-07bd-4396-a8a7-a34cf736a2e7/AB-21/AB-22.jpg'],CHLOE
522,POKEMON,"GHIBLI, DISNEY, SPY X FAMILY, DEMON HUNTER, SANRIO",Amiguruku,F-25ab,CF18,,https://www.instagram.com/amiguruku,,,,DEMON HUNTER
794,GENSHIN IMPACT,"GENSHIN IMPACT, HONKAI STAR RAIL, TEARS OF THEMIS, ARKNIGHTS, CHAINSAW MAN, NIJISANJI, HOLOLIVE, LEAGUE OF LEGENDS, INSIDE JOB, ONE PIECE, FFXIV, S-CLASS, DO OR DIE, UTAITE, K-DRAMA, PINNOCHIOP, BOCCHI THE ROCK, ORIGINAL",Pertaubatan Thanos,H-56ab,CF17,,https://www.instagram.com/pertaubatanthanos/?hl=en,,,,DO OR DIE
507,DOODLE MONSTER,-,Vanz Studio,F-13a (SUN),CF18,-,https://www.instagram.com/vanz.studios,https://twitter.com/vanzstudios,,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/337c5d87-c333-4940-b1ba-3d560692f558/783dddb3-b10c-45a1-b467-0c113a284d46/F-13a (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/337c5d87-c333-4940-b1ba-3d560692f558/818fb32a-8cc0-40c3-9c51-990d4383d6ad/F-13a (SUN).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/337c5d87-c333-4940-b1ba-3d560692f558/4f6e47d2-110d-4391-9839-4de69edcba05/F-13a (SUN).png']",DOODLE MONSTER
845,GENSHIN,"HONKAI STARRAIL, VOCALOID, DELTARUNE, OMORI, ANIME, DVC",origamidragon,J-30ab (SAT),CF18,-,https://instagram.com/origami_drago/,https://twitter.com/wwhat_w,,,DVC
296,JJK,"HSR, BSD, SOUTH PARK, EVANGELION, PJSK, REGRETEVATOR, EVADE, MADOMAGI, NSO, MURDER DRONE, PRESSURE, KINITOPET, BLACK BUTLER, INNOCENT, BG3, FF7, CASTLEVANIA",KWFA,C-41ab,CF18,,https://www.instagram.com/lem0n_003?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,https://x.com/maple_lumo?t=P5i0crn0Px4lRxirLD2oCw&s=09,https://www.tiktok.com/@re1_.ka?_t=8lvn9Wyhr0C&_r=1,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/32c5f0fa-6f11-48be-a378-f8b5ff201cc1/36c60061-9472-4bea-9c36-3f4672db6e4a/C-41ab.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/32c5f0fa-6f11-48be-a378-f8b5ff201cc1/b3c50559-2307-415a-a6ba-3131e46f22f0/C-41ab.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/32c5f0fa-6f11-48be-a378-f8b5ff201cc1/7f5e9349-fc18-4a59-af3f-c11d7fc1ff14/C-41ab.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/32c5f0fa-6f11-48be-a378-f8b5ff201cc1/711dd8f6-45d8-4e0f-9352-058507b1f946/C-41ab.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/32c5f0fa-6f11-48be-a378-f8b5ff201cc1/a5572b69-d24c-4c09-af3c-2c3ea4400bc0/C-41ab.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/32c5f0fa-6f11-48be-a378-f8b5ff201cc1/472b9583-5250-49ce-add2-d28784cab573/C-41ab.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/32c5f0fa-6f11-48be-a378-f8b5ff201cc1/9967ddde-89bc-48cf-8813-ddc56a6c502a/C-41ab.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/32c5f0fa-6f11-48be-a378-f8b5ff201cc1/eba3864c-af96-4fd7-83cd-ac16ddacad51/C-41ab.jpeg']",EVADE
571,HAZBIN HOTEL,"FORMULA 1, GENSHIN IMPACT, MY LITTLE PONY, SPIDERVERSE, DEADPOOL, CALL OF DUTY, THE BEAR, UNDERTALE, DELTARUNE, TOMORROW X TOGETHER, ONE PIECE, ADVETURE TIME, MORTAL KOMBAT, FIVE NIGHTS AT FREDDY’S, FIGHT CLUB, ",Nikisolosgoku,F-60a (SAT),CF18,,https://www.instagram.com/nikisolosgoku?igsh=MWpsdHBlb3BudGlqdQ&utm_source=qr,,,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/6b9033ea-5c46-4c37-ad42-3ac31752f58e/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/0c8b305d-751f-4c04-840f-b0ba5dd589a3/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/47c1bbe1-be59-4daf-a2e0-543b48fd3ba6/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/aa93d84d-cb6f-4321-8702-026a1bf1fbbe/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/7e7d9e2f-3519-4069-b7b4-a7aa87f7b319/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/a90ac333-c002-4fe4-a55c-0245bd00c08d/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/63376166-c95c-40b6-a19e-296b3c9ef9e7/F-60a (SAT).png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/8965f6ca-d7c6-4c15-b4fa-58d6799940df/5cbf52cb-4485-40a2-8010-a75979969cdb/F-60a (SAT).png']",FIGHT CLUB
0,"GHOSTY'S COMIC, VTUBER",-,GHOSTY's COMIC x Lory Nytica,AA-01/AA-02,CF17,https://www.facebook.com/GHOSTY.COMIC,https://www.instagram.com/ghosty_comic,https://twitter.com/jaretghosty,https://www.facebook.com/GHOSTY.COMIC,,GHOST
618,"OTOME GAME, 07 GHOST , VTUBER , ORIGINAL (FOOD)",,Aju Furananko & Toko Ci Marmar,F-56ab (SAT),CF17,https://www.facebook.com/profile.php?id=61552094849685,https://www.instagram.com/furananko/,https://twitter.com/furananko,https://www.instagram.com/marmareido/,,GHOST
555,BLUE ARCHIVE,"UMA MUSUME, VTUBER, MF GHOST, HOLOLIVE, TAMANEKO MEIRIYA, AMAYA MIYU, SHIBA RIE, KIMINO KOKKURI, VOCALOID, GENSHIN IMPACT, KAMEN RIDER, SUPER SENTAI",AKINEKO CREATIVE WORKS,F-01ab,CF17,https://www.facebook.com/akinekocreativeworks,https://www.instagram.com/kaneneko813/,https://twitter.com/kaneneko_813,,,GHOST
423,PROJECT SEKAI,"GHOST, HANNIBAL, GENSHIN IMPACT, TOP GUN",D'haloez,E-13b,CF18,,,,,,GHOST
470,ARKNIGHTS,"ACE ATTORNEY, TOILET BOUND HANAKO-KUN, NIJISANJI JP, GHOST TRICK, EVANGELION, ETC.",KETOPRAK GORENG,E-43ab (SUN),CF18,,,,,,GHOST
97,"BOCCHI THE ROCK, SPY X FAMILY","MYDRESSUP,CLASSROOM,HM,AOBUTA,ELAINA,CHIZURU,86, VIOLET EVERGARDEN",Saboten x Possessivenight,AC-43,CF17,,https://www.instagram.com/possessivenight/,https://twitter.com/possessivenight,https://www.pixiv.net/en/users/89210290,,HM
271,ORIGINAL MUSIC,"DOUJIN MUSIC, RHYTHM GAME MUSIC",LiNKARIA (LiNKARYZE x Nyxtoria),B-36ab,CF17,https://www.facebook.com/Nyxtoria,https://www.instagram.com/linkaryze,https://twitter.com/linkaryze,,,HM
455,VTUBER,"RHYTHM GAME, BEMANI, NIJISANJI ID, ARKNIGHTS, BOCCHI THE ROCK, PROJECT SEKAI",Spearhead x Siarasa,D-54ab,CF17,https://www.facebook.com/profile.php?id=189621679,,https://twitter.com/SiarasaTeam,,,HM
623,VALORANT,"V-TUBER,GENSHIN,ONEPUNCHMAN,SPYXFAMILY",NekoNyoo,F-58b (SUN),CF17,https://www.facebook.com/MatchaxNeko,https://www.instagram.com/matchaxneko/,https://twitter.com/MatchaxNeko,,,HM
643,VARIOUS ANIME (OLD AND NEW),"RYTHM GAME, RPG GAME (GENSHIN, VOCALOID, ENSTARS, PROSEKA)",[ NAFAS ] SPACE,G-49ab,CF18,,https://instagram.com/neelamayu_n,https://twitter.com/neelamayu_n,,,HM
203,ORIGINAL CONTENT,"VTUBER, ONE PIECE, KIMETSU, HOSHI NO AI",Coretan Harian,A-03ab,CF17,https://web.facebook.com/coretanhariankomik/?_rdc=1&_rdr,https://www.instagram.com/coretan_harian/,https://twitter.com/coretanharian,,,HOSHI NO AI
79,ORIGINAL,"INAH, GENSHIN IMPACT, VALORANT, CHAINSAWMAN, HOLOLIVE",Bacaan di Seperempat Malam,AC-36,CF18,https://www.facebook.com/Bdsm4,https://www.instagram.com/bd.sm.4/,https://www.twitter.com/Bdsm4Twt,https://ganknow.com/bdsm4,,INAH
